id,ans
1,4
2,3
3,0
4,1
5,0
6,5
7,2
8,3
9,3
10,0
11,1
12,3
13,4
14,5
15,2
16,0
17,2
18,0
19,3
20,5
21,0
22,3
23,2
24,4
25,4
26,5
27,5
28,5
29,0
30,2
31,5
32,4
33,1
34,1
35,3
36,1
37,1
38,2
39,4
40,1
41,4
42,2
43,4
44,5
45,4
46,2
47,5
48,3
49,1
50,3
51,2
52,4
53,5
54,1
55,2
56,1
57,4
58,3
59,1
60,0
61,0
62,3
63,2
64,4
65,0
66,0
67,2
68,2
69,3
70,5
71,1
72,1
73,0
74,3
75,1
76,4
77,2
78,0
79,4
80,0
81,1
82,4
83,3
84,5
85,1
86,0
87,0
88,0
89,4
90,4
91,5
92,1
93,0
94,5
95,4
96,0
97,1
98,2
99,5
100,5
101,0
102,2
103,1
104,2
105,1
106,0
107,1
108,2
109,0
110,0
111,5
112,5
113,0
114,3
115,4
116,0
117,4
118,1
119,0
120,1
121,1
122,2
123,3
124,4
125,1
126,1
127,2
128,0
129,0
130,5
131,1
132,2
133,4
134,4
135,0
136,3
137,2
138,2
139,1
140,0
141,2
142,4
143,0
144,5
145,4
146,2
147,4
148,5
149,0
150,4
151,0
152,0
153,4
154,5
155,0
156,5
157,0
158,2
159,5
160,2
161,3
162,1
163,5
164,4
165,2
166,2
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,4
175,0
176,5
177,0
178,5
179,4
180,3
181,5
182,2
183,3
184,2
185,5
186,1
187,0
188,5
189,3
190,4
191,0
192,5
193,0
194,3
195,1
196,0
197,2
198,4
199,0
200,5
201,2
202,2
203,5
204,3
205,5
206,0
207,4
208,0
209,4
210,0
211,0
212,2
213,5
214,4
215,5
216,0
217,4
218,2
219,2
220,4
221,0
222,1
223,1
224,2
225,4
226,5
227,1
228,5
229,4
230,1
231,2
232,1
233,0
234,5
235,3
236,5
237,4
238,5
239,0
240,5
241,1
242,0
243,5
244,3
245,1
246,0
247,1
248,2
249,2
250,0
251,2
252,2
253,3
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,4
262,2
263,1
264,3
265,1
266,0
267,4
268,4
269,1
270,4
271,4
272,1
273,1
274,0
275,4
276,1
277,1
278,1
279,1
280,2
281,0
282,1
283,5
284,5
285,1
286,4
287,3
288,3
289,4
290,3
291,5
292,2
293,4
294,2
295,3
296,2
297,2
298,4
299,1
300,0
301,1
302,2
303,1
304,2
305,3
306,2
307,4
308,1
309,1
310,1
311,4
312,1
313,2
314,3
315,5
316,4
317,0
318,2
319,0
320,5
321,4
322,1
323,2
324,3
325,2
326,2
327,2
328,1
329,2
330,1
331,3
332,0
333,0
334,3
335,0
336,5
337,5
338,2
339,1
340,0
341,3
342,4
343,5
344,0
345,2
346,2
347,4
348,2
349,1
350,0
351,2
352,3
353,3
354,4
355,0
356,4
357,2
358,5
359,4
360,1
361,0
362,4
363,5
364,0
365,2
366,5
367,2
368,5
369,0
370,2
371,1
372,5
373,1
374,3
375,3
376,3
377,1
378,0
379,4
380,2
381,5
382,0
383,5
384,2
385,1
386,4
387,0
388,3
389,4
390,1
391,0
392,0
393,3
394,5
395,4
396,2
397,5
398,2
399,1
400,0
401,0
402,2
403,5
404,3
405,3
406,5
407,3
408,2
409,2
410,2
411,5
412,0
413,5
414,2
415,1
416,4
417,1
418,5
419,1
420,5
421,3
422,1
423,5
424,1
425,0
426,1
427,0
428,2
429,2
430,4
431,0
432,2
433,4
434,0
435,1
436,2
437,2
438,0
439,1
440,0
441,1
442,4
443,0
444,0
445,0
446,1
447,4
448,5
449,2
450,3
451,3
452,4
453,4
454,2
455,0
456,2
457,5
458,2
459,5
460,2
461,2
462,5
463,0
464,3
465,5
466,5
467,3
468,0
469,1
470,5
471,4
472,3
473,0
474,1
475,0
476,2
477,0
478,1
479,4
480,0
481,4
482,1
483,2
484,5
485,5
486,1
487,3
488,3
489,5
490,0
491,4
492,0
493,0
494,4
495,2
496,3
497,0
498,0
499,1
500,1
501,0
502,1
503,4
504,4
505,1
506,5
507,2
508,1
509,2
510,5
511,1
512,1
513,5
514,3
515,4
516,5
517,2
518,4
519,4
520,1
521,3
522,0
523,1
524,2
525,4
526,1
527,5
528,0
529,4
530,5
531,2
532,5
533,2
534,0
535,1
536,5
537,3
538,4
539,0
540,0
541,0
542,1
543,2
544,1
545,3
546,2
547,5
548,3
549,4
550,5
551,4
552,5
553,0
554,5
555,1
556,1
557,5
558,1
559,5
560,2
561,3
562,0
563,2
564,3
565,1
566,5
567,2
568,3
569,5
570,0
571,5
572,4
573,1
574,4
575,1
576,5
577,0
578,0
579,3
580,3
581,3
582,1
583,0
584,0
585,0
586,0
587,0
588,1
589,2
590,3
591,1
592,2
593,0
594,4
595,5
596,0
597,5
598,4
599,0
600,3
601,5
602,2
603,5
604,1
605,2
606,1
607,0
608,1
609,1
610,3
611,3
612,4
613,3
614,2
615,2
616,4
617,1
618,4
619,5
620,2
621,4
622,5
623,3
624,0
625,3
626,5
627,5
628,4
629,2
630,3
631,1
632,0
633,5
634,0
635,3
636,0
637,0
638,1
639,0
640,2
641,3
642,1
643,5
644,5
645,0
646,0
647,1
648,4
649,5
650,2
651,5
652,3
653,2
654,0
655,0
656,2
657,0
658,5
659,0
660,1
661,0
662,1
663,1
664,3
665,1
666,3
667,4
668,2
669,5
670,2
671,2
672,2
673,1
674,0
675,4
676,2
677,5
678,3
679,4
680,5
681,2
682,0
683,3
684,5
685,3
686,1
687,5
688,5
689,4
690,0
691,5
692,2
693,4
694,1
695,3
696,3
697,1
698,0
699,0
700,2
701,4
702,3
703,0
704,2
705,4
706,0
707,0
708,3
709,1
710,0
711,2
712,4
713,2
714,3
715,4
716,0
717,1
718,2
719,3
720,4
721,1
722,1
723,0
724,5
725,0
726,2
727,5
728,5
729,0
730,5
731,0
732,4
733,5
734,4
735,0
736,4
737,5
738,5
739,3
740,5
741,0
742,1
743,2
744,5
745,2
746,4
747,1
748,2
749,3
750,4
751,2
752,0
753,4
754,0
755,4
756,4
757,5
758,0
759,0
760,0
761,4
762,2
763,0
764,2
765,0
766,4
767,0
768,1
769,0
770,0
771,1
772,3
773,4
774,2
775,2
776,2
777,2
778,0
779,5
780,3
781,5
782,4
783,5
784,0
785,3
786,4
787,4
788,0
789,2
790,0
791,1
792,4
793,5
794,2
795,2
796,1
797,1
798,2
799,4
800,5
801,2
802,3
803,5
804,1
805,3
806,1
807,3
808,0
809,0
810,2
811,1
812,3
813,0
814,2
815,4
816,3
817,4
818,5
819,1
820,2
821,1
822,3
823,0
824,1
825,2
826,5
827,2
828,1
829,2
830,1
831,5
832,0
833,3
834,2
835,5
836,4
837,2
838,4
839,5
840,2
841,4
842,2
843,2
844,1
845,5
846,1
847,4
848,4
849,1
850,5
851,3
852,2
853,0
854,4
855,0
856,1
857,0
858,4
859,5
860,5
861,3
862,1
863,4
864,2
865,0
866,1
867,1
868,2
869,3
870,1
871,3
872,3
873,0
874,5
875,0
876,3
877,0
878,3
879,0
880,0
881,0
882,2
883,3
884,3
885,1
886,1
887,1
888,5
889,0
890,4
891,3
892,2
893,0
